hash,file_name,creation_time,load_file,service_flag,registry_flag,startup_flag,injection_flag,service_name,display_name,etw_bypass,amsi_bypass
9a2d40ab2e0638cbf5bf6c8e6c407635a8d39c627588de7e0d0fdb18f1d8dd03,mpsvc.dll,2015-04-27 07:33:27,myeclipse.dat,,Yes,,,,,,
2ff1f98b2dadb39ea3743287ccd86bbe5a6f4012b55041837c69355c92856496,nvsmartmax.dll,2015-05-06 13:33:20,service.dat,Yes,,,,AppcatServercefire001,Appcation Server for certificate,,
271a94e5a5f8b498d246b481c410e2da89efe35a0ad6f2c3aa16d1187bb898c6,jli.dll,2015-05-21 03:50:12,service.dat,Yes,,,,AppcatServercefind005,Appcation Server for certificate,,
f3d1c354ac9ce88d72d2549c45c3c3228a880cc29a3eb09c183e77cf9bcd0550,mpclient.dll,2015-05-21 08:03:26,documents.dat,Yes,,,,Micrclient003,Microsoft Windows Networking place stations.,,
8efcecc00763ce9269a01d2b5918873144746c4b203be28c92459f5301927961,mpclient.dll,2015-05-21 08:54:24,documents.dat,Yes,,,,Micrclient004,Microsoft Windows Networking place stations.,,
421e11a96e810c834dd6b14b515ad7a5401813caa0555ddfb3490c3d82336e3d,mpclient.dll,2015-07-14 02:07:10,documents.dat,Yes,,,,Micrclient010,Microsoft Windows Networking place stations.,,
beb77e277510c4ff2797a314494606335f158a722cf6533fad62ba5d5789e2d3,potplayer.dll,2015-07-16 11:17:04,potplayer.dat,,,,,,,,
790cb75d1ca92ba3953dbb35cc5842cb73f84e3d4499746ac12d148d9fb77379,,2016-07-15 14:27:25,WeiSvc.err,Yes,,,svchost.exe,WeiSvc,WeiSvc,,
074075eda7dde4396fb8aa441031cf88873b969273a9541f25b15fc35ec5ee49,jli.dll,2017-05-24 11:50:56,store.dat,Yes,,,svchost.exe,AppcatServercefind20151112,Appcation Server for certificate,,
af223370ff0da3c9a9314dc6bf9cb9d9c3a12e2e3c835643edeedad4b4f908fa,jli.dll,2017-09-07 09:51:04,service.dat,Yes,,,svchost.exe,AppcatServercefind,Appcation Server for certificate,,
c3cb9d0650fcca22a61760fa072336a036a8a5e8eaa61cb72bc4b553a84aedd1,jli.dll,2017-09-19 05:03:45,service.dat,Yes,,,svchost.exe,AppcatServercefind,Appcation Server for certificate,,
d1027f62c64be7da458cd6eab676559425e7356f6ee3cf596b96dee96b026aa1,test.dll,2017-10-03 08:26:52,store.dat,Yes,,,svchost.exe,Java Quick Ssarter,JavaQuickSSarter,,
82409c2c886fc02ddc0cbd71037ec53957717fbe08615fd8f7e17adbf9440b66,libcef.dll,2018-03-16 04:31:37,libceff,Yes,,,svchost.exe,VSPerf ,VSPerf Performance Control Tool,,
c0ad7298face0d194adc166bba14e77c30ce9eba2a931f79d022ec0afe3ef248,,2018-04-16 09:52:24,kavs,,,,svchost.exe,,,,
43713ba04641f8bef702eb30f3b46e522a65a9c73e2a469ed709aafeb61814f4,jli.dll,2018-07-09 02:21:06,Titani,Yes,,,svchost.exe,Trend Titanium,Trend Micro Titanium,,
130e256cb29771ab1af51dc45109bd7722c9568bf5517fd61eaafcb37321fe4b,jli.dll,2018-07-12 09:05:53,vpn.bin,Yes,,,svchost.exe,NetLogin,NetLogin,,
02b95ef7a33a87cc2b3b6fd47db03e711045974e1ecf631d3ba9e076e1e374e9,jli.dll,2018-11-21 13:10:54,svchost.bin,Yes,,,svchost.exe,HxUpdateServiceInfo,HxUpdateServiceInfo,,
42571bd757749cabed09b60e16fc1b520dde5d1ed2974e89f46f954478f8a868,mpsvc.dll,2018-11-23 01:39:15,office.bin,Yes,,,svchost.exe,MOffice,Microsoft Office Service Manage,,
42d8b2ea23f809efe8113a31c0d8da4874b976a042679620e818dc0f990fc553,consl.dll,2018-11-26 01:56:38,logon.bin,Yes,,,svchost.exe,NetLogin,NetLogin,,
279a1a6fabba6c6bae6c44c6831a1b41e0b0d84f480ef0d9197d354b9ed43c0f,Ushata.dll,2018-11-30 09:45:12,eauto.bin,Yes,,,svchost.exe,WAuto,Windwos Auto,,
41542d11abf5bf4a18332e9c4f2c8d1eb5c7e5d4298749b610d86caaa1acb62c,jli.dll,2018-12-23 03:42:16,svchost.bin,Yes,,,svchost.exe,clr_optimization_v4.0.30319_31,Microsoft  .NET  Framework  NGEN  v4.0.30319_x86,,
bf5d4df9eeb101e3b7b1e2d74c5642d8ea12f83b2d3d47044b8682a716b6cc1c,secur32.dll,2018-12-29 15:40:11,dsq.bak,Yes,,,svchost.exe,XboxNetApiSvcs,Xbox Live Networking,,
c75c1a8b581bf144d549d7b0b991cd4631069c2925ade233d558a5173c09ffec,Ushata.dll,2019-01-17 10:25:10,winse.bin,Yes,,,svchost.exe,WinSec,Windows Secrity,,
5167df7d78c33bd969f9f60f6d8daf388c1f5a9f0ec23b3fe2f8b84a937b407f,jli.dll,2019-02-25 09:10:51,srchui,Yes,,,svchost.exe,Windows Foundation,Windows Presentation Foundation Fontv,,
7e45cd4c0785ef21ba3b7ee1780c5c5494b599c9bad2924924db2aed2e349483,jli.dll,2019-02-28 14:28:14,svchost.bin,Yes,,,svchost.exe,clr_optimization_v4.0.30319_37,Microsoft  .NET  Framework  NGEN  v4.0.30319_x64,,
8a1378da517e1e70de22dc1618d400b675b8851f105cf5baf6eedb7897ddfbf7,SetupEngine.dll,2019-06-11 08:53:28,TPUDPGateway.bin,Yes,,,svchost.exe,TPUDPGateway,TP UDP Gateway Service,,
40f1d683e554cdd24d50d30c1c4dbe9630ef50ff4313ecc1eb5de94374a4398a,,2019-06-27 11:01:24,emx.bin,Yes,,,svchost.exe,WdNlsSvce,WdNlsSvce,,
6f482c8bf7d17a80353d08c9a3ed4ff2d0c7f035be1804dfc6d1d23f738304f7,,2019-09-19 07:14:49,key.bin,Yes,,,svchost.exe,WinSec,Windows Secrity Key,,
e0863e37ad33ddd10d31ad4cbcb8428e866599cfb83eb582e0419956aba38c7f,qbcore.dll,2019-10-31 07:04:03,RDPSMBGateway.bin,Yes,,,svchost.exe,RDPSMBGateway,ScSMBGatewayService,,
31f0b71a194589b18596f90a14d03de66944c4f9b9fa72eefa6749921b630d3a,libcef.dll,2019-11-13 06:54:13,mcafee.bin,,,Yes,svchost.exe,,,,
9bec85e6a3d811826580540b541723c6b5236377a3a980b1ffa5bf5f749a99d4,VBoxRT.bin,2020-06-16 09:33:48,wpn.svr,Yes,,,svchost.exe,WpnServec,WpnServec,,
ea597ae940c8674fccdfa33b8aa28885b965d632c9098dc1b878770f263dad03,,2020-12-04 18:57:27,mscorsvw.bin,Yes,,,svchost.exe,clr_optimization_v2.0.50727_64,Microsoft .NET Framework NGEN v2.0.50727_X64,,
06662a290c2865ea3a5ec02604473b86d745d15f44ff123e1fc783b0ea97d283,UnityPlayer.dll,2021-02-24 13:05:28,svhost.dll,Yes,,,svchost.exe,Mappers,Mappers,,
8622f128effb5cf283ee177589668b56ec1d18371672202e9069e99bfbcdd44a,SetupEngine.dll,2021-06-07 11:04:39,System.bin,Yes,,,svchost.exe,clr_optimization_v2.5.20438_64,Microsoft .NET Framework NGEN v2.5.20438_X64,,
ed834722111782b2931e36cfa51b38852c813e3d7a4d16717f59c1d037b62291,,2021-08-19 14:32:28,desktop.ini,,,,,,,,
cf5ec3b803563d8ef68138f5303ebc362b72da36da29b9cba3062ae996db9234,SbieDll.dll,2021-08-23 01:45:14,svchook.dll,Yes,,,svchost.exe,inter,inter,,
